Organization : org2
Data frequency : 15 minutes
<year><month><day><hour><minute>, <energy production power in MW>
202101010000, 199
202101010015, 172
202101010030, 183
202101010045, 195
202101010100, 186
202101010115, 175
202101010130, 185
202101010145, 170
202101010200, 199
202101010215, 198
202101010230, 179
202101010245, 184
202101010300, 185
202101010315, 182
202101010330, 176
202101010345, 187
202101010400, 182
202101010415, 196
202101010430, 183
202101010445, 172
202101010500, 182
202101010515, 175
202101010530, 175
202101010545, 172
202101010600, 198
202101010615, 175
202101010630, 190
202101010645, 181
202101010700, 171
202101010715, 172
202101010730, 173
202101010745, 193
202101010800, 170
202101010815, 193
202101010830, 172
202101010845, 191
202101010900, 188
202101010915, 187
202101010930, 177
202101010945, 189
202101011000, 196
202101011015, 172
202101011030, 179
202101011045, 188
202101011100, 175
202101011115, 176
202101011130, 177
202101011145, 171
202101011200, 172
202101011215, 184
202101011230, 171
202101011245, 191
202101011300, 194
202101011315, 181
202101011330, 176
202101011345, 179
202101011400, 180
202101011415, 188
202101011430, 176
202101011445, 176
202101011500, 181
202101011515, 194
202101011530, 174
202101011545, 179
202101011600, 197
202101011615, 184
202101011630, 190
202101011645, 179
202101011700, 188
202101011715, 187
202101011730, 183
202101011745, 198
202101011800, 199
202101011815, 171
202101011830, 178
202101011845, 193
202101011900, 189
202101011915, 186
202101011930, 197
202101011945, 180
202101012000, 182
202101012015, 182
202101012030, 185
202101012045, 192
202101012100, 197
202101012115, 182
202101012130, 189
202101012145, 196
202101012200, 178
202101012215, 177
202101012230, 170
202101012245, 176
202101012300, 199
202101012315, 199
202101012330, 192
202101012345, 198
202101020000, 190
202101020015, 179
202101020030, 172
202101020045, 180
202101020100, 173
202101020115, 192
202101020130, 191
202101020145, 189
202101020200, 182
202101020215, 185
202101020230, 186
202101020245, 192
202101020300, 197
202101020315, 174
202101020330, 188
202101020345, 184
202101020400, 171
202101020415, 181
202101020430, 188
202101020445, 182
202101020500, 179
202101020515, 187
202101020530, 171
202101020545, 179
202101020600, 198
202101020615, 193
202101020630, 184
202101020645, 199
202101020700, 171
202101020715, 199
202101020730, 177
202101020745, 191
202101020800, 172
202101020815, 184
202101020830, 179
202101020845, 193
202101020900, 178
202101020915, 195
202101020930, 181
202101020945, 187
202101021000, 190
202101021015, 174
202101021030, 171
202101021045, 194
202101021100, 199
202101021115, 192
202101021130, 190
202101021145, 198
202101021200, 182
202101021215, 199
202101021230, 180
202101021245, 188
202101021300, 196
202101021315, 176
202101021330, 170
202101021345, 184
202101021400, 171
202101021415, 198
202101021430, 183
202101021445, 175
202101021500, 197
202101021515, 177
202101021530, 194
202101021545, 175
202101021600, 175
202101021615, 175
202101021630, 190
202101021645, 170
202101021700, 191
202101021715, 193
202101021730, 193
202101021745, 170
202101021800, 172
202101021815, 185
202101021830, 198
202101021845, 192
202101021900, 190
202101021915, 179
202101021930, 185
202101021945, 184
202101022000, 189
202101022015, 198
202101022030, 179
202101022045, 183
202101022100, 186
202101022115, 198
202101022130, 196
202101022145, 175
202101022200, 189
202101022215, 175
202101022230, 175
202101022245, 180
202101022300, 175
202101022315, 179
202101022330, 192
202101022345, 179
202101030000, 191
202101030015, 194
202101030030, 182
202101030045, 174
202101030100, 172
202101030115, 198
202101030130, 177
202101030145, 194
202101030200, 185
202101030215, 185
202101030230, 184
202101030245, 193
202101030300, 172
202101030315, 173
202101030330, 196
202101030345, 172
202101030400, 177
202101030415, 170
202101030430, 190
202101030445, 176
202101030500, 189
202101030515, 191
202101030530, 185
202101030545, 197
202101030600, 173
202101030615, 189
202101030630, 191
202101030645, 172
202101030700, 194
202101030715, 181
202101030730, 174
202101030745, 186
202101030800, 182
202101030815, 198
202101030830, 189
202101030845, 170
202101030900, 198
202101030915, 192
202101030930, 173
202101030945, 195
202101031000, 173
202101031015, 181
202101031030, 195
202101031045, 171
202101031100, 189
202101031115, 174
202101031130, 189
202101031145, 191
202101031200, 191
202101031215, 179
202101031230, 191
202101031245, 194
202101031300, 181
202101031315, 195
202101031330, 191
202101031345, 171
202101031400, 183
202101031415, 171
202101031430, 199
202101031445, 198
202101031500, 179
202101031515, 198
202101031530, 197
202101031545, 196
202101031600, 190
202101031615, 172
202101031630, 187
202101031645, 186
202101031700, 179
202101031715, 179
202101031730, 173
202101031745, 186
202101031800, 188
202101031815, 190
202101031830, 172
202101031845, 199
202101031900, 191
202101031915, 197
202101031930, 194
202101031945, 178
202101032000, 179
202101032015, 184
202101032030, 170
202101032045, 198
202101032100, 181
202101032115, 195
202101032130, 175
202101032145, 184
202101032200, 190
202101032215, 172
202101032230, 194
202101032245, 170
202101032300, 191
202101032315, 173
202101032330, 174
202101032345, 198
202101040000, 199
202101040015, 172
202101040030, 184
202101040045, 182
202101040100, 199
202101040115, 193
202101040130, 192
202101040145, 171
202101040200, 186
202101040215, 176
202101040230, 180
202101040245, 187
202101040300, 183
202101040315, 192
202101040330, 172
202101040345, 184
202101040400, 183
202101040415, 188
202101040430, 188
202101040445, 182
202101040500, 175
202101040515, 175
202101040530, 176
202101040545, 176
202101040600, 179
202101040615, 183
202101040630, 177
202101040645, 197
202101040700, 189
202101040715, 186
202101040730, 196
202101040745, 180
202101040800, 172
202101040815, 195
202101040830, 182
202101040845, 173
202101040900, 187
202101040915, 175
202101040930, 174
202101040945, 191
202101041000, 184
202101041015, 190
202101041030, 176
202101041045, 173
202101041100, 187
202101041115, 190
202101041130, 190
202101041145, 182
202101041200, 195
202101041215, 185
202101041230, 177
202101041245, 199
202101041300, 186
202101041315, 188
202101041330, 196
202101041345, 192
202101041400, 171
202101041415, 170
202101041430, 174
202101041445, 174
202101041500, 173
202101041515, 184
202101041530, 191
202101041545, 189
202101041600, 186
202101041615, 182
202101041630, 174
202101041645, 191
202101041700, 196
202101041715, 171
202101041730, 196
202101041745, 194
202101041800, 179
202101041815, 195
202101041830, 171
202101041845, 182
202101041900, 184
202101041915, 194
202101041930, 173
202101041945, 170
202101042000, 172
202101042015, 179
202101042030, 174
202101042045, 185
202101042100, 189
