Organization: org2
Data frequency : 15 minutes
<year><month><day><hour><minute>, <energy production power in MW>
202101010000, 1899
202101010015, 1864
202101010030, 1855
202101010045, 1829
202101010100, 1861
202101010115, 1967
202101010130, 1849
202101010145, 1816
202101010200, 1863
202101010215, 1731
202101010230, 1971
202101010245, 1907
202101010300, 1748
202101010315, 1993
202101010330, 1720
202101010345, 1933
202101010400, 1755
202101010415, 1898
202101010430, 1843
202101010445, 1702
202101010500, 1824
202101010515, 1809
202101010530, 1742
202101010545, 1832
202101010600, 1890
202101010615, 1973
202101010630, 1853
202101010645, 1916
202101010700, 1863
202101010715, 1734
202101010730, 1881
202101010745, 1993
202101010800, 1758
202101010815, 1827
202101010830, 1899
202101010845, 1887
202101010900, 1928
202101010915, 1983
202101010930, 1897
202101010945, 1734
202101011000, 1876
202101011015, 1920
202101011030, 1900
202101011045, 1958
202101011100, 1828
202101011115, 1912
202101011130, 1773
202101011145, 1842
202101011200, 1929
202101011215, 1900
202101011230, 1951
202101011245, 1888
202101011300, 1740
202101011315, 1882
202101011330, 1724
202101011345, 1990
202101011400, 1927
202101011415, 1776
202101011430, 1742
202101011445, 1868
202101011500, 1755
202101011515, 1763
202101011530, 1864
202101011545, 1717
202101011600, 1955
202101011615, 1995
202101011630, 1834
202101011645, 1939
202101011700, 1771
202101011715, 1724
202101011730, 1814
202101011745, 1969
202101011800, 1904
202101011815, 1967
202101011830, 1753
202101011845, 1776
202101011900, 1883
202101011915, 1894
202101011930, 1921
202101011945, 1984
202101012000, 1946
202101012015, 1736
202101012030, 1981
202101012045, 1976
202101012100, 1984
202101012115, 1845
202101012130, 1956
202101012145, 1947
202101012200, 1821
202101012215, 1985
202101012230, 1799
202101012245, 1772
202101012300, 1757
202101012315, 1923
202101012330, 1979
202101012345, 1961
