Organization : org1
Data frequency : 15 minutes
<year><month><day><hour><minute>, <energy declaration in MWh <energy production in MWh>
202201010000, 122, 99
202201010015, 125, 95
202201010030, 127, 98
202201010045, 118, 95
202201010100, 100, 84
202201010115, 119, 79
202201010130, 113, 94
202201010145, 102, 96
202201010200, 111, 72
202201010215, 107, 98
202201010230, 108, 90
202201010245, 103, 79
202201010300, 111, 93
202201010315, 114, 76
202201010330, 100, 96
202201010345, 126, 85
202201010400, 99, 95
202201010415, 112, 99
202201010430, 121, 94
202201010445, 109, 79
202201010500, 105, 91
202201010515, 123, 79
202201010530, 110, 90
202201010545, 102, 90
202201010600, 121, 78
202201010615, 104, 80
202201010630, 122, 89
202201010645, 110, 86
202201010700, 125, 86
202201010715, 109, 80
202201010730, 124, 77
202201010745, 123, 73
202201010800, 103, 81
202201010815, 122, 71
202201010830, 100, 91
202201010845, 115, 73
202201010900, 121, 90
202201010915, 125, 97
202201010930, 121, 98
202201010945, 105, 83
202201011000, 122, 75
202201011015, 124, 90
202201011030, 99, 72
202201011045, 99, 73
202201011100, 100, 94
202201011115, 122, 90
202201011130, 118, 87
202201011145, 104, 76
202201011200, 120, 90
202201011215, 108, 90
202201011230, 116, 72
202201011245, 110, 97
202201011300, 101, 99
202201011315, 122, 81
202201011330, 99, 89
202201011345, 122, 86
202201011400, 110, 87
202201011415, 99, 80
202201011430, 105, 88
202201011445, 103, 95
202201011500, 118, 87
202201011515, 106, 78
202201011530, 118, 98
202201011545, 106, 73
202201011600, 100, 72
202201011615, 101, 89
202201011630, 105, 72
202201011645, 114, 70
202201011700, 106, 71
202201011715, 127, 85
202201011730, 127, 96
202201011745, 128, 81
202201011800, 127, 89
202201011815, 125, 99
202201011830, 121, 91
202201011845, 106, 77
202201011900, 121, 83
202201011915, 126, 92
202201011930, 121, 85
202201011945, 118, 82
202201012000, 120, 77
202201012015, 101, 74
202201012030, 111, 86
202201012045, 106, 73
202201012100, 102, 95
202201012115, 121, 87
202201012130, 107, 94
202201012145, 102, 82
202201012200, 100, 88
202201012215, 101, 94
202201012230, 106, 82
202201012245, 103, 91
202201012300, 121, 97
202201012315, 106, 72
202201012330, 99, 86
202201012345, 124, 78
202201020000, 112, 82
202201020015, 126, 90
202201020030, 123, 73
202201020045, 103, 93
202201020100, 107, 88
202201020115, 107, 76
202201020130, 127, 70
202201020145, 101, 97
202201020200, 119, 98
202201020215, 100, 92
202201020230, 109, 97
202201020245, 99, 93
202201020300, 128, 97
202201020315, 128, 77
202201020330, 115, 75
202201020345, 114, 74
202201020400, 125, 90
202201020415, 122, 85
202201020430, 107, 92
202201020445, 101, 87
202201020500, 102, 85
202201020515, 128, 92
202201020530, 106, 72
202201020545, 121, 99
202201020600, 116, 96
202201020615, 102, 96
202201020630, 114, 85
202201020645, 113, 74
202201020700, 127, 73
202201020715, 103, 91
202201020730, 112, 90
202201020745, 108, 96
202201020800, 121, 94
202201020815, 100, 71
202201020830, 121, 91
202201020845, 124, 77
202201020900, 114, 81
202201020915, 127, 71
202201020930, 105, 73
202201020945, 128, 89
202201021000, 103, 94
202201021015, 122, 80
202201021030, 114, 70
202201021045, 119, 96
202201021100, 101, 85
202201021115, 103, 87
202201021130, 118, 96
202201021145, 124, 76
202201021200, 115, 76
202201021215, 114, 81
202201021230, 118, 93
202201021245, 117, 80
202201021300, 110, 79
202201021315, 111, 96
202201021330, 123, 76
202201021345, 117, 79
202201021400, 116, 97
202201021415, 117, 88
202201021430, 114, 88
202201021445, 103, 89
202201021500, 108, 89
202201021515, 100, 78
202201021530, 101, 79
202201021545, 121, 74
202201021600, 106, 70
202201021615, 112, 94
202201021630, 112, 88
202201021645, 120, 86
202201021700, 104, 94
202201021715, 101, 87
202201021730, 101, 73
202201021745, 104, 71
202201021800, 106, 86
202201021815, 108, 87
202201021830, 100, 99
202201021845, 116, 89
202201021900, 121, 83
202201021915, 127, 80
202201021930, 119, 98
202201021945, 105, 94
202201022000, 103, 76
202201022015, 106, 99
202201022030, 99, 90
202201022045, 126, 91
202201022100, 101, 89
202201022115, 115, 94
202201022130, 105, 99
202201022145, 107, 78
202201022200, 126, 87
202201022215, 105, 91
202201022230, 117, 72
202201022245, 121, 82
202201022300, 102, 85
202201022315, 116, 88
202201022330, 111, 85
202201022345, 125, 83
202201030000, 113, 94
202201030015, 104, 73
202201030030, 127, 85
202201030045, 99, 76
202201030100, 106, 73
202201030115, 128, 84
202201030130, 125, 86
202201030145, 124, 90
202201030200, 127, 86
202201030215, 117, 80
202201030230, 118, 73
202201030245, 106, 84
202201030300, 102, 78
202201030315, 99, 89
202201030330, 127, 86
202201030345, 120, 81
202201030400, 99, 86
202201030415, 128, 74
202201030430, 123, 91
202201030445, 116, 80
202201030500, 122, 89
202201030515, 107, 83
202201030530, 112, 82
202201030545, 102, 84
202201030600, 115, 73
202201030615, 116, 83
202201030630, 117, 76
202201030645, 126, 85
202201030700, 104, 87
202201030715, 115, 82
202201030730, 114, 77
202201030745, 122, 70
202201030800, 107, 75
202201030815, 120, 77
202201030830, 114, 79
202201030845, 119, 92
202201030900, 115, 95
202201030915, 119, 80
202201030930, 117, 76
202201030945, 124, 86
202201031000, 125, 70
202201031015, 128, 98
202201031030, 121, 98
202201031045, 121, 79
202201031100, 117, 82
202201031115, 126, 97
202201031130, 109, 73
202201031145, 105, 98
202201031200, 127, 82
202201031215, 107, 97
202201031230, 110, 81
202201031245, 114, 84
202201031300, 115, 81
202201031315, 127, 94
202201031330, 120, 98
202201031345, 115, 80
202201031400, 100, 85
202201031415, 113, 87
202201031430, 123, 91
202201031445, 122, 77
202201031500, 101, 92
202201031515, 124, 85
202201031530, 101, 93
202201031545, 124, 82
202201031600, 101, 94
202201031615, 103, 83
202201031630, 105, 94
202201031645, 103, 96
202201031700, 113, 85
202201031715, 101, 70
202201031730, 127, 75
202201031745, 123, 74
202201031800, 120, 89
202201031815, 107, 84
202201031830, 99, 96
202201031845, 121, 73
202201031900, 103, 75
202201031915, 107, 86
202201031930, 102, 90
202201031945, 102, 74
202201032000, 115, 84
202201032015, 104, 92
202201032030, 124, 79
202201032045, 120, 79
202201032100, 121, 96
202201032115, 111, 74
202201032130, 114, 88
202201032145, 99, 81
202201032200, 106, 85
202201032215, 113, 87
202201032230, 116, 89
202201032245, 102, 84
202201032300, 112, 74
202201032315, 118, 78
202201032330, 105, 99
202201032345, 109, 81
202201040000, 112, 94
202201040015, 122, 73
202201040030, 126, 84
202201040045, 112, 82
202201040100, 105, 95
202201040115, 106, 98
202201040130, 112, 73
202201040145, 125, 78
202201040200, 118, 81
202201040215, 114, 79
202201040230, 116, 84
202201040245, 120, 73
202201040300, 125, 75
202201040315, 126, 78
202201040330, 106, 75
202201040345, 101, 92
202201040400, 110, 71
202201040415, 116, 71
202201040430, 108, 71
202201040445, 114, 76
202201040500, 108, 86
202201040515, 126, 94
202201040530, 109, 93
202201040545, 118, 94
202201040600, 124, 87
202201040615, 110, 77
202201040630, 124, 79
202201040645, 107, 72
202201040700, 101, 77
202201040715, 128, 75
202201040730, 122, 74
202201040745, 119, 85
202201040800, 110, 98
202201040815, 112, 70
202201040830, 115, 78
202201040845, 104, 85
202201040900, 127, 86
